"id_item","nome_item","tipo_item"
1,"Adrenalina","Medicacao"
2,"Albumina","Exame Laboratorio"
3,"Amiodarona","Medicacao"
4,"Atropina","Medicacao"
5,"Bicarbonato de sódio","Medicacao"
6,"CK-MB","Exame Laboratorio"
7,"Ceftriaxona","Antibiotico"
8,"Coagulograma","Exame Laboratorio"
9,"Cultura de ferida","Exame Laboratorio"
10,"Cultura de sangue","Exame Laboratorio"
11,"Cultura de secreção traqueal","Exame Laboratorio"
12,"Cultura de urina","Exame Laboratorio"
13,"D-dímero","Exame Laboratorio"
14,"Diazepam","Medicacao"
15,"Dobutamina","Medicacao"
16,"Dopamina","Medicacao"
17,"Eletrólitos (Na, K, Cl)","Exame Laboratorio"
18,"Etomidato","Medicacao"
19,"Fentanila","Medicacao"
20,"Função hepática (TGO, TGP, bilirrubinas)","Exame Laboratorio"
21,"Função renal (ureia e creatinina)","Exame Laboratorio"
22,"Gasometria arterial","Exame Laboratorio"
23,"Glicemia","Exame Laboratorio"
24,"Glicose 50%","Medicacao"
25,"Gluconato de cálcio","Medicacao"
26,"Haloperidol","Medicacao"
27,"Hemograma completo","Exame Laboratorio"
28,"Hidrocortisona","Medicacao"
29,"Lactato","Exame Laboratorio"
30,"Manitol","Medicacao"
31,"Meropeném","Antibiotico"
32,"Midazolam","Medicacao"
33,"PCR (Proteína C reativa)","Exame Laboratorio"
34,"Piperacilina-Tazobactam","Antibiotico"
35,"Procalcitonina","Exame Laboratorio"
36,"Sumário de urina","Exame Laboratorio"
37,"Tramadol","Medicacao"
38,"Troponina","Exame Laboratorio"
39,"Vancomicina","Antibiotico"
40,"Velocidade de hemossedimentação (VHS)","Exame Laboratorio"
